label,feature_type,osm_key,osm_value,node_id,lat,lng,dist_to_route_m,route_position_m,parent_way_ids,parent_way_highways,direction_tag,tags_json,street_view_url
新宿→池袋,一時停止,highway,stop,11286893487,35.6919347,139.7053279,9.2,460.2,72457420,unclassified,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6919347,139.7053279"
新宿→池袋,踏切_車道,railway,level_crossing,4622811958,35.7163556,139.7125070,18.18,3285.2,97367502,unclassified,,"{""railway"":""level_crossing""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7163556,139.7125070"
新宿→池袋,一時停止,highway,stop,10313170970,35.7267127,139.7115426,18.03,4478.5,192620023,residential,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7267127,139.7115426"
新宿→池袋,一時停止,highway,stop,1685099979,35.7268822,139.7115929,17.41,4497.9,1128023034,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7268822,139.7115929"
東京→渋谷,一時停止,highway,stop,13288902293,35.6773607,139.7608360,17.1,371.1,216895901,tertiary,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6773607,139.7608360"
東京→渋谷,一時停止,highway,stop,11612834886,35.6613671,139.7369892,6.17,4078.8,23273635,unclassified,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6613671,139.7369892"
東京→渋谷,一時停止,highway,stop,1075233588,35.6609890,139.7280779,15.51,4998.0,92702343,unclassified,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6609890,139.7280779"
東京→渋谷,一時停止,highway,stop,12334423109,35.6608618,139.7276580,10.79,5036.7,176209641,service,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6608618,139.7276580"
東京→渋谷,一時停止,highway,stop,12334378300,35.6600519,139.7253558,11.5,5263.6,122928198,residential,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6600519,139.7253558"
東京→渋谷,一時停止,highway,stop,8663938876,35.6591415,139.7186637,7.96,5878.1,372005557,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6591415,139.7186637"
東京→渋谷,一時停止,highway,stop,8663938894,35.6590311,139.7177425,11.52,5962.2,103751727,residential,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6590311,139.7177425"
東京→渋谷,一時停止,highway,stop,2138385693,35.6583492,139.7102518,6.52,6643.3,93185600,unclassified,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6583492,139.7102518"
東京→渋谷,一時停止,highway,stop,8563870267,35.6580440,139.7070990,12.83,6929.7,141293467,tertiary,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6580440,139.7070990"
東京→渋谷,一時停止,highway,stop,13042424432,35.6580156,139.7061248,10.23,7017.5,141293465,residential,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6580156,139.7061248"
東京→渋谷,一時停止,highway,stop,13042424433,35.6579591,139.7047102,11.37,7145.4,211286456,unclassified,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6579591,139.7047102"
品川→東京,一時停止,highway,stop,1074585156,35.6481411,139.7547212,11.11,2772.3,60544302,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6481411,139.7547212"
